Country,Year,Value
Jordan,2012,0.0017664279477005
Jordan,2017,0.0015241478335214
Kazakhstan,2010,0.0032208383209367
Kazakhstan,2015,0.0016413949363369
Kenya,2008,0.247059187806287
Kenya,2014,0.170776074964238
Kyrgyzstan,2005,0.035682204426793
Kyrgyzstan,2014,0.0124778568115171
Kyrgyzstan,2018,0.0040273226550088
Lao People's Democratic Republic,2011,0.209553659249845
Lao People's Democratic Republic,2017,0.108333250246785
Lesotho,2009,0.19498660622107
Lesotho,2014,0.12760946435505
Lesotho,2018,0.0843591908637081
Liberia,2007,0.463076833762833
Liberia,2013,0.325997515176987
Liberia,2019,0.259293731110051
Madagascar,2008,0.432770518665589
Madagascar,2018,0.379068704780074
Madagascar,2021,0.363763614092438
Malawi,2010,0.330324647426205
Malawi,2015,0.243590961224546
Malawi,2019,0.231264799198162
Mali,2006,0.501303773494839
Mali,2015,0.417798575043941
Mali,2018,0.361364581099638
Mauritania,2011,0.355642940233852
Mauritania,2015,0.307256486316937
Mauritania,2019,0.320927631099008
Mexico,2012,0.026471038084405
Mexico,2016,0.0207254733689607
Mexico,2020,0.0154126927962151
Mexico,2021,0.0164921139779636
Moldova (Republic of),2005,0.0055009573328608
Moldova (Republic of),2012,0.003307185333118
Mongolia,2010,0.081109879119062
Mongolia,2013,0.0558023064760896
Mongolia,2018,0.0389974904653427
Montenegro,2013,0.0016391029679038
Montenegro,2018,0.0048989004059962
Morocco,2011,0.0784595815261708
Morocco,2017,0.0334365553266834
Mozambique,2003,0.516434579621839
Mozambique,2011,0.40061938482787
Namibia,2006,0.204953102079742
Namibia,2013,0.157781840341176
Nepal,2011,0.185341084855892
Nepal,2016,0.11099010654283
Nepal,2019,0.0750747912170587
Nicaragua,2001,0.220787781799368
Nicaragua,2011,0.0744948916699346
Niger,2006,0.668370278240736
Niger,2012,0.593759317111874
Nigeria,2013,0.23037760548538
Nigeria,2016,0.214874451457265
Nigeria,2018,0.208262241116493
Nigeria,2021,0.174817301837348
North Macedonia,2005,0.0310334435585578
North Macedonia,2011,0.0095581316915746
North Macedonia,2018,0.0051743650824537
Pakistan,2012,0.23257907996031
Pakistan,2017,0.198237407955765
"Palestine, State of",2010,0.0039193953105937
"Palestine, State of",2014,0.0028690302187941
"Palestine, State of",2019,0.0018969837978716
Peru,2012,0.0526611598077955
Peru,2018,0.0292047050454954
Peru,2019,0.0291866550301054
Peru,2021,0.0257779862732812
Philippines,2013,0.0370274094024709
Philippines,2017,0.0277294461727319
Rwanda,2010,0.33800510175049
Rwanda,2014,0.281711484775384
Rwanda,2019,0.231001961923506
Sao Tome and Principe,2008,0.184795492238589
Sao Tome and Principe,2014,0.0914007706795558
Sao Tome and Principe,2019,0.0492847019554651
Senegal,2005,0.381253272025439
Senegal,2017,0.281916461183906
Senegal,2019,0.259504165177072
Serbia,2010,0.0007535567072669
Serbia,2014,0.0013639264193929
Serbia,2019,0.0004331141474629
Sierra Leone,2013,0.409117486160722
Sierra Leone,2017,0.300150399482596
Sierra Leone,2019,0.272405035654045
Sudan,2010,0.316627816299106
Sudan,2014,0.279439588631058
Suriname,2006,0.0588995209968136
Suriname,2010,0.04109014134969
Suriname,2018,0.0257355689157923
Tajikistan,2012,0.0492981564912028
Tajikistan,2017,0.0288749251558552
Tanzania (United Republic of),2010,0.342319931970283
Tanzania (United Republic of),2015,0.284522181419293
Thailand,2012,0.0051201107314816
Thailand,2015,0.0032647850645878
Thailand,2019,0.0021206823329645
Timor-Leste,2009,0.361726651213228
Timor-Leste,2016,0.215143211014164
Togo,2010,0.320680686575363
Togo,2013,0.300633814571083
Togo,2017,0.213220519197075
Tunisia,2011,0.0055005430453477
Tunisia,2018,0.0028877310361996
Turkmenistan,2006,0.0122972105227264
Turkmenistan,2015,0.0037215098755215
Turkmenistan,2019,0.0031396241752082
Uganda,2011,0.349064567032822
Uganda,2016,0.281062327180199
Ukraine,2007,0.0012953852019824
Ukraine,2012,0.0008084904892693
Viet Nam,2013,0.0193570092316046
Viet Nam,2020,0.007729394853574
Zambia,2007,0.343327065285784
Zambia,2013,0.262656511599076
Zambia,2018,0.231685073362336
Zimbabwe,2010,0.156441456194266
Zimbabwe,2015,0.130026934425638
Zimbabwe,2019,0.10979728553596
